City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
176,Mahuva,IN,2022-04-01 01:27:24,21.0914,71.7622,Clear,77.31,44,0,3.62
177,Kuryk,KZ,2022-04-01 01:27:24,43.2,51.65,Clouds,50.31,54,42,5.26
178,Jamestown,US,2022-04-01 01:23:17,42.097,-79.2353,Clouds,42.53,66,100,16.11
179,Kuito,AO,2022-04-01 01:27:24,-12.3833,16.9333,Rain,58.87,97,82,0.43
180,Riverton,US,2022-04-01 01:27:25,40.5219,-111.9391,Clear,49.39,50,0,4.61
181,Nan,TH,2022-04-01 01:23:54,18.8333,100.6667,Clear,73.42,88,6,3.44
182,Port Moresby,PG,2022-04-01 01:25:21,-9.4431,147.1797,Rain,76.42,94,100,10.65
183,Narsaq,GL,2022-04-01 01:27:25,60.9167,-46.05,Clouds,48.42,77,100,3.83
184,Mahanoro,MG,2022-04-01 01:27:25,-19.9,48.8,Rain,71.31,86,14,4.43
185,Santa Maria,BR,2022-04-01 01:24:55,-29.6842,-53.8069,Clear,47.5,100,0,2.3
186,Grootfontein,NA,2022-04-01 01:28:25,-19.5667,18.1167,Rain,62.92,92,54,1.54
187,Stornoway,GB,2022-04-01 01:28:26,58.2093,-6.3865,Clouds,30.16,93,100,3.44
188,Lewistown,US,2022-04-01 01:27:10,40.5992,-77.5714,Clouds,61.18,100,100,9.55
189,Nantucket,US,2022-04-01 01:28:19,41.2835,-70.0995,Mist,57.25,89,40,26.46
190,Xining,CN,2022-04-01 01:28:26,36.6167,101.7667,Clouds,35.13,70,55,4.14
191,Sibut,CF,2022-04-01 01:28:26,5.718,19.0739,Clouds,78.84,49,59,3.09
192,Sioux Lookout,CA,2022-04-01 01:28:27,50.1001,-91.917,Clouds,24.87,63,20,2.3
193,Seoul,KR,2022-04-01 01:28:27,37.5683,126.9778,Clear,51.37,48,0,5.75
194,Birjand,IR,2022-04-01 01:28:27,32.8663,59.2211,Clear,43.27,19,0,9.22
195,Leningradskiy,RU,2022-04-01 01:28:27,69.3833,178.4167,Clouds,7.74,90,100,5.3
196,Codrington,AU,2022-04-01 01:28:28,-38.2667,141.9667,Clouds,63.93,53,97,15.23
197,Cascas,PE,2022-04-01 01:28:28,-7.4833,-78.8167,Clouds,68.95,78,100,0.34
198,Novobirilyussy,RU,2022-04-01 01:28:28,56.9514,90.6661,Clouds,36.19,75,100,14.52
199,Nongan,CN,2022-04-01 01:28:28,44.382,125.1685,Clear,39.52,28,7,8.21
200,Bengkulu,ID,2022-04-01 01:28:29,-3.8004,102.2655,Clear,78.15,69,9,2.15
201,Northam,GB,2022-04-01 01:28:29,51.0333,-4.2167,Clouds,39.61,67,45,14.23
202,Sheboygan,US,2022-04-01 01:28:29,43.7333,-87.9334,Mist,32.29,88,100,8.05
203,Tikhvin,RU,2022-04-01 01:28:29,59.6451,33.5294,Clouds,4.21,98,59,2.62
204,Luderitz,NA,2022-04-01 01:28:30,-26.6481,15.1594,Clear,60.04,77,0,16.6
205,San Patricio,US,2022-04-01 01:28:30,28.017,-97.5169,Clouds,70.54,61,93,14.65
206,Namtsy,RU,2022-04-01 01:28:30,62.7161,129.6658,Clouds,13.44,92,98,3.98
207,Hangu,CN,2022-04-01 01:28:30,39.2489,117.7892,Clear,51.84,23,0,4.43
208,Grindavik,IS,2022-04-01 01:28:31,63.8424,-22.4338,Clouds,37.87,87,75,8.05
209,Abu Kamal,SY,2022-04-01 01:28:31,34.4506,40.9171,Clear,62.74,29,10,6.58
210,Talnakh,RU,2022-04-01 01:28:31,69.4865,88.3972,Snow,13.21,96,100,5.82
